n	repo	path	sha	license	url
32	aptakube/kubespec.dev	content/projects/istio/1.8.2/crd-all.gen.yaml	35b4db8c01ef6abc9b130ec76a9493f942765dd7	NOASSERTION	https://github.com/aptakube/kubespec.dev/blob/cfe55be89bfaed621cc5f3d4a5e6d88ef22782ab/content/projects/istio/1.8.2/crd-all.gen.yaml
33	aptakube/kubespec.dev	content/projects/istio/1.8.1/crd-all.gen.yaml	deea651743e2c8db1f6fc8942a51e4f36c8c7312	NOASSERTION	https://github.com/aptakube/kubespec.dev/blob/cfe55be89bfaed621cc5f3d4a5e6d88ef22782ab/content/projects/istio/1.8.1/crd-all.gen.yaml
34	aptakube/kubespec.dev	content/projects/istio/1.8.0/crd-all.gen.yaml	deea651743e2c8db1f6fc8942a51e4f36c8c7312	NOASSERTION	https://github.com/aptakube/kubespec.dev/blob/cfe55be89bfaed621cc5f3d4a5e6d88ef22782ab/content/projects/istio/1.8.0/crd-all.gen.yaml
35	aptakube/kubespec.dev	content/projects/istio/1.8.5/crd-all.gen.yaml	6919f674b53a06570570321b489c5243fb0bb38e	NOASSERTION	https://github.com/aptakube/kubespec.dev/blob/cfe55be89bfaed621cc5f3d4a5e6d88ef22782ab/content/projects/istio/1.8.5/crd-all.gen.yaml
36	aptakube/kubespec.dev	content/projects/istio/1.8.6/crd-all.gen.yaml	6919f674b53a06570570321b489c5243fb0bb38e	NOASSERTION	https://github.com/aptakube/kubespec.dev/blob/cfe55be89bfaed621cc5f3d4a5e6d88ef22782ab/content/projects/istio/1.8.6/crd-all.gen.yaml
37	devtron-labs/devtron	scripts/devtron-reference-helm-charts/deployment-chart_4-18-0/templates/istio-requestauthentication.yaml	3429cee1462ba3b23e36294df48de18e7fd5dea3	NOASSERTION	https://github.com/devtron-labs/devtron/blob/b4efce22377e758b8f8c0c13b4326997089ae205/scripts/devtron-reference-helm-charts/deployment-chart_4-18-0/templates/istio-requestauthentication.yaml
38	PacktPublishing/Microservices-with-Spring-Boot-and-Spring-Cloud-Third-Edition	Chapter20/kubernetes/helm/common/templates/_istio_base.yaml	a65b64a48c8e98a12658da8306f31a73368418bb	NOASSERTION	https://github.com/PacktPublishing/Microservices-with-Spring-Boot-and-Spring-Cloud-Third-Edition/blob/816693dc82d65e880cead018bf3be08fcbefdd74/Chapter20/kubernetes/helm/common/templates/_istio_base.yaml
39	hoangsonww/EstateWise-Chapel-Hill-Chatbot	kubernetes/base/istio-mesh.yaml	e0cee63d6b53ae125bc28457d1d15bf63c3b478d	NOASSERTION	https://github.com/hoangsonww/EstateWise-Chapel-Hill-Chatbot/blob/92f7b6f9433af7fb3aecf2b2e3eb954ba51e5803/kubernetes/base/istio-mesh.yaml
40	api7/Amesh	e2e/charts/base/crds/crd-all.gen.yaml	7dab5252f1bc6add40ca6fa2db5c774b97a1fa29	NOASSERTION	https://github.com/api7/Amesh/blob/45ed318d2c088b3156cf5d0e41c0db7a4345d407/e2e/charts/base/crds/crd-all.gen.yaml
41	istio-ecosystem/sail-operator	bundle/manifests/sailoperator.clusterserviceversion.yaml	fbe296bb4518671088250610f54e106956490588	NOASSERTION	https://github.com/istio-ecosystem/sail-operator/blob/6c634d7b055390224b2bddaa6b29a28e1dcc65af/bundle/manifests/sailoperator.clusterserviceversion.yaml
42	JiRaska/open-bank-oss	openbank-infra/k8s/base/istio.yaml	47089a338790609f20ea036154ac651c4fe3d3bc	NOASSERTION	https://github.com/JiRaska/open-bank-oss/blob/b4f10e3ab690b659fe4f298aebd191b37b44b01c/openbank-infra/k8s/base/istio.yaml
43	xeviknal/istio-lab	requestauthentication.yaml	a3dba8e838892ca2f6cf46ec515fe1a65f0c2849	NOASSERTION	https://github.com/xeviknal/istio-lab/blob/5fb863c6aa6e001bf2ba234a94da7385b1bac26d/requestauthentication.yaml
44	intel/helm-charts	charts/evi-keycloak-3.0.3/templates/single-sign-on.yaml	dc7c7caba5912be99d13ab3d3cdda955e109e35e	NOASSERTION	https://github.com/intel/helm-charts/blob/110e39ef75d1f94611b8d28bb2b97d395866d1c7/charts/evi-keycloak-3.0.3/templates/single-sign-on.yaml
45	redhat-openshift-ecosystem/community-operators-prod	operators/sailoperator/1.26.2/manifests/sailoperator.clusterserviceversion.yaml	6db11afaa1e207f7a2cf5a6f797f52a075cae118	NOASSERTION	https://github.com/redhat-openshift-ecosystem/community-operators-prod/blob/6fd1a4c0858f8266cba31733372c55565ec75426/operators/sailoperator/1.26.2/manifests/sailoperator.clusterserviceversion.yaml
46	redhat-openshift-ecosystem/community-operators-prod	operators/sailoperator/1.27.3/manifests/security.istio.io_requestauthentications.yaml	9d915bf1f21eb166f52a0b0b93551f9d8ee42c45	NOASSERTION	https://github.com/redhat-openshift-ecosystem/community-operators-prod/blob/6fd1a4c0858f8266cba31733372c55565ec75426/operators/sailoperator/1.27.3/manifests/security.istio.io_requestauthentications.yaml
47	redhat-openshift-ecosystem/community-operators-prod	operators/sailoperator/1.28.1/manifests/security.istio.io_requestauthentications.yaml	ac7b2451e7acae0541429695ca61384bd9e85dce	NOASSERTION	https://github.com/redhat-openshift-ecosystem/community-operators-prod/blob/6fd1a4c0858f8266cba31733372c55565ec75426/operators/sailoperator/1.28.1/manifests/security.istio.io_requestauthentications.yaml
48	sjbylo/openshift-service-mesh-demo	bookinfo/other/ra-bookinfo.yaml	715881a1e287b4ed93e73ca9aeecca4628751008	NOASSERTION	https://github.com/sjbylo/openshift-service-mesh-demo/blob/b5cabd7ceb81bc06d9610abb97a89509c60bee83/bookinfo/other/ra-bookinfo.yaml
49	hmcts/cpp-module-terraform-azurerm-aks-config	manifests/istio/crds/1.13.2/crd-all.gen.yaml	7dab5252f1bc6add40ca6fa2db5c774b97a1fa29	NOASSERTION	https://github.com/hmcts/cpp-module-terraform-azurerm-aks-config/blob/d41cdeb903cca653f72c1ceb266f92298c512447/manifests/istio/crds/1.13.2/crd-all.gen.yaml
50	Apress/Practical-Istio	chapter-5/istio-authn-authz-policy/jwt-authentication.yaml	88ad8d691dd23d8167f979d314ddb3befd022a09	NOASSERTION	https://github.com/Apress/Practical-Istio/blob/28e362c2095959cf2c2643f9434d426af8830854/chapter-5/istio-authn-authz-policy/jwt-authentication.yaml
51	ghurel-rh/servicemesh-2-rhsso-examples	approach_3/yaml/istio/02_jwt/01_requestauthentication.yaml	4575f071a99a6b4eec604c32c2947287a26f28cf	NOASSERTION	https://github.com/ghurel-rh/servicemesh-2-rhsso-examples/blob/41885ce1109378553c55c0aadfd199018bc8c0c8/approach_3/yaml/istio/02_jwt/01_requestauthentication.yaml
52	johnwelby1965/openshift-demo	manifests/frontend-jwt.yaml	2d839f621441b268c6f6aa8e9bc16a8acaad05c7	NOASSERTION	https://github.com/johnwelby1965/openshift-demo/blob/02804627b0c6388907333994aa7c23a993f19014/manifests/frontend-jwt.yaml
53	jguillemat/rhthsa-openshift-demo	manifests/frontend-jwt.yaml	2d839f621441b268c6f6aa8e9bc16a8acaad05c7	NOASSERTION	https://github.com/jguillemat/rhthsa-openshift-demo/blob/001ce31ee112c6676e360c73c5d8e8af45f7f1d9/manifests/frontend-jwt.yaml
54	rahul-r-mishra/sinch	api-policies/authn-authz.yaml	38eb00de15124a5252dacb0ebe23138ac89444c3	NOASSERTION	https://github.com/rahul-r-mishra/sinch/blob/2634a434e32060fea9bce02bf6f9e47a30d7ec66/api-policies/authn-authz.yaml
55	ICTServ/kb	chapter13/authentication/service-auth.yaml	c040fb56df8d6ad57e84c0f20d6d402d532a4dd6	NOASSERTION	https://github.com/ICTServ/kb/blob/befc6e2e9f6efc3a91992d23719221279044db93/chapter13/authentication/service-auth.yaml
56	ahouab/Kubernetes-An-Enterprise-Guide	chapter17/authentication/service-auth.yaml	8bac88d7676de217624c2d44788f6077d08c81f4	NOASSERTION	https://github.com/ahouab/Kubernetes-An-Enterprise-Guide/blob/59e64b432120348f9890c5c572e77654a16e2774/chapter17/authentication/service-auth.yaml
57	kaito-project/production-stack	charts/modelharness/templates/azure/requestauthentication.yaml	275acc19eace79a1ff3c2895efd30ab78cd11816	NOASSERTION	https://github.com/kaito-project/production-stack/blob/4047c6d74ee0c7d1fb8a0d8286a30516bfedf755/charts/modelharness/templates/azure/requestauthentication.yaml
58	miroku0000/AI-Security-Benchmark	output/o3-mini/modern_istio_004.yaml	c73952778414953fbcd8e3ad692c5b9059470cfa	NOASSERTION	https://github.com/miroku0000/AI-Security-Benchmark/blob/c21cd8b601c85f8a5a32dd77dceb1533a2227104/output/o3-mini/modern_istio_004.yaml
